iTOW,qzssTow,fQzssTow,qzssWno,leapS,qzssTowValid,qzssWnoValid,leapSValid,tAcc
93931000,93931,349301,2390,18,1,1,1,26
93932000,93932,348961,2390,18,1,1,1,26
93933000,93933,348621,2390,18,1,1,1,26
93934000,93934,348281,2390,18,1,1,1,26
93935000,93935,347941,2390,18,1,1,1,26
93936000,93936,347601,2390,18,1,1,1,26
93937000,93937,347262,2390,18,1,1,1,25
93938000,93938,346923,2390,18,1,1,1,25
93939000,93939,346585,2390,18,1,1,1,25
93940000,93940,346247,2390,18,1,1,1,24
93941000,93941,345908,2390,18,1,1,1,24
93942000,93942,345569,2390,18,1,1,1,24
93943000,93943,345230,2390,18,1,1,1,24
93944000,93944,344891,2390,18,1,1,1,24
93945000,93945,344552,2390,18,1,1,1,24
93946000,93946,344213,2390,18,1,1,1,23
93947000,93947,343873,2390,18,1,1,1,23
93948000,93948,343535,2390,18,1,1,1,23
93949000,93949,343196,2390,18,1,1,1,23
93950000,93950,342858,2390,18,1,1,1,23
93951000,93951,342519,2390,18,1,1,1,23
93952000,93952,342180,2390,18,1,1,1,23
93953000,93953,341842,2390,18,1,1,1,23
93954000,93954,341503,2390,18,1,1,1,22
93955000,93955,341164,2390,18,1,1,1,22
93956000,93956,340825,2390,18,1,1,1,22
93957000,93957,340485,2390,18,1,1,1,22
93958000,93958,340147,2390,18,1,1,1,22
93959000,93959,339809,2390,18,1,1,1,22
93960000,93960,339471,2390,18,1,1,1,22
93961000,93961,339134,2390,18,1,1,1,22
93962000,93962,338796,2390,18,1,1,1,22
93963000,93963,338458,2390,18,1,1,1,22
93964000,93964,338120,2390,18,1,1,1,22
93965000,93965,337782,2390,18,1,1,1,22
93966000,93966,337444,2390,18,1,1,1,22
93967000,93967,337108,2390,18,1,1,1,21
93968000,93968,336772,2390,18,1,1,1,21
93969000,93969,336437,2390,18,1,1,1,21
93970000,93970,336102,2390,18,1,1,1,21
93971000,93971,335765,2390,18,1,1,1,21
93972000,93972,335430,2390,18,1,1,1,21
93973000,93973,335094,2390,18,1,1,1,21
93974000,93974,334760,2390,18,1,1,1,21
93975000,93975,334425,2390,18,1,1,1,21
93976000,93976,334091,2390,18,1,1,1,21
93977000,93977,333757,2390,18,1,1,1,21
93978000,93978,333423,2390,18,1,1,1,21
93979000,93979,333090,2390,18,1,1,1,21
93980000,93980,332756,2390,18,1,1,1,21
93981000,93981,332423,2390,18,1,1,1,21
93982000,93982,332090,2390,18,1,1,1,21
93983000,93983,331758,2390,18,1,1,1,21
93984000,93984,331427,2390,18,1,1,1,21
93985000,93985,331095,2390,18,1,1,1,21
93986000,93986,330763,2390,18,1,1,1,21
93987000,93987,330431,2390,18,1,1,1,21
93988000,93988,330099,2390,18,1,1,1,20
93989000,93989,329766,2390,18,1,1,1,20
93990000,93990,329434,2390,18,1,1,1,20
93991000,93991,329102,2390,18,1,1,1,20
93992000,93992,328770,2390,18,1,1,1,20
93993000,93993,328438,2390,18,1,1,1,19
93994000,93994,328106,2390,18,1,1,1,19
93995000,93995,327773,2390,18,1,1,1,19
93996000,93996,327439,2390,18,1,1,1,19
93997000,93997,327105,2390,18,1,1,1,19
93998000,93998,326770,2390,18,1,1,1,19
93999000,93999,326435,2390,18,1,1,1,18
94000000,94000,326100,2390,18,1,1,1,18
94001000,94001,325765,2390,18,1,1,1,18
94002000,94002,325430,2390,18,1,1,1,18
94003000,94003,325096,2390,18,1,1,1,18
94004000,94004,324762,2390,18,1,1,1,18
94005000,94005,324428,2390,18,1,1,1,18
94006000,94006,324093,2390,18,1,1,1,18
94007000,94007,323759,2390,18,1,1,1,18
94008000,94008,323425,2390,18,1,1,1,18
94009000,94009,323090,2390,18,1,1,1,17
94010000,94010,322755,2390,18,1,1,1,17
94011000,94011,322420,2390,18,1,1,1,17
94012000,94012,322086,2390,18,1,1,1,17
94013000,94013,321753,2390,18,1,1,1,17
94014000,94014,321420,2390,18,1,1,1,17
94015000,94015,321086,2390,18,1,1,1,17
94016000,94016,320752,2390,18,1,1,1,17
94017000,94017,320419,2390,18,1,1,1,17
94018000,94018,320085,2390,18,1,1,1,17
94019000,94019,319751,2390,18,1,1,1,17
94020000,94020,319418,2390,18,1,1,1,17
94021000,94021,319083,2390,18,1,1,1,17
94022000,94022,318750,2390,18,1,1,1,17
94023000,94023,318417,2390,18,1,1,1,17
94024000,94024,318084,2390,18,1,1,1,17
94025000,94025,317751,2390,18,1,1,1,17
94026000,94026,317418,2390,18,1,1,1,17
94027000,94027,317086,2390,18,1,1,1,17
94028000,94028,316753,2390,18,1,1,1,17
94029000,94029,316419,2390,18,1,1,1,17
94030000,94030,316085,2390,18,1,1,1,17
94031000,94031,315751,2390,18,1,1,1,17
94032000,94032,315418,2390,18,1,1,1,17
94033000,94033,315084,2390,18,1,1,1,17
94034000,94034,314750,2390,18,1,1,1,17
94035000,94035,314417,2390,18,1,1,1,17
94036000,94036,314085,2390,18,1,1,1,18
94037000,94037,313752,2390,18,1,1,1,18
94038000,94038,313419,2390,18,1,1,1,18
94039000,94039,313087,2390,18,1,1,1,17
94040000,94040,312755,2390,18,1,1,1,17
94041000,94041,312424,2390,18,1,1,1,17
94042000,94042,312092,2390,18,1,1,1,17
94043000,94043,311759,2390,18,1,1,1,17
