iTOW,SOW,fSOW,week,leapS,sowValid,weekValid,leapSValid,tAcc
94000000,93986,326091,1034,4,1,1,1,7
94001000,93987,325756,1034,4,1,1,1,6
94002000,93988,325422,1034,4,1,1,1,6
94003000,93989,325088,1034,4,1,1,1,6
94004000,93990,324754,1034,4,1,1,1,6
94005000,93991,324420,1034,4,1,1,1,6
94006000,93992,324085,1034,4,1,1,1,6
94007000,93993,323751,1034,4,1,1,1,6
94008000,93994,323416,1034,4,1,1,1,6
94009000,93995,323081,1034,4,1,1,1,6
94010000,93996,322747,1034,4,1,1,1,6
94011000,93997,322412,1034,4,1,1,1,6
94012000,93998,322078,1034,4,1,1,1,6
94013000,93999,321745,1034,4,1,1,1,6
94014000,94000,321412,1034,4,1,1,1,6
94015000,94001,321078,1034,4,1,1,1,5
94016000,94002,320744,1034,4,1,1,1,5
94017000,94003,320410,1034,4,1,1,1,5
94018000,94004,320077,1034,4,1,1,1,5
94019000,94005,319743,1034,4,1,1,1,5
94020000,94006,319409,1034,4,1,1,1,5
94021000,94007,319075,1034,4,1,1,1,5
94022000,94008,318742,1034,4,1,1,1,5
94023000,94009,318409,1034,4,1,1,1,5
94024000,94010,318076,1034,4,1,1,1,5
94025000,94011,317743,1034,4,1,1,1,5
94026000,94012,317410,1034,4,1,1,1,5
94027000,94013,317078,1034,4,1,1,1,5
94028000,94014,316745,1034,4,1,1,1,5
94029000,94015,316411,1034,4,1,1,1,5
94030000,94016,316077,1034,4,1,1,1,5
94031000,94017,315743,1034,4,1,1,1,6
94032000,94018,315410,1034,4,1,1,1,6
94033000,94019,315076,1034,4,1,1,1,6
94034000,94020,314742,1034,4,1,1,1,6
94035000,94021,314409,1034,4,1,1,1,6
94036000,94022,314076,1034,4,1,1,1,6
94037000,94023,313744,1034,4,1,1,1,6
94038000,94024,313411,1034,4,1,1,1,6
94039000,94025,313079,1034,4,1,1,1,6
94040000,94026,312747,1034,4,1,1,1,6
94041000,94027,312416,1034,4,1,1,1,6
94042000,94028,312084,1034,4,1,1,1,6
94043000,94029,311751,1034,4,1,1,1,6
